year_month,complaint_count,previous_month_count,month_over_month_pct_change
2020-01,3482,,
2020-02,3352,3482.0,-3.7334865020103387
2020-03,3608,3352.0,7.637231503579953
2020-04,4011,3608.0,11.169623059866963
2020-05,3633,4011.0,-9.424083769633508
2020-06,4171,3633.0,14.808698045692264
2020-07,4411,4171.0,5.754015823543514
2020-08,3947,4411.0,-10.519156653819996
2020-09,4200,3947.0,6.409931593615405
2020-10,4090,4200.0,-2.619047619047619
2020-11,3389,4090.0,-17.139364303178482
2020-12,4053,3389.0,19.592800236057833
2021-01,4338,4053.0,7.031828275351591
2021-02,4352,4338.0,0.32272936837252186
2021-03,5533,4352.0,27.136948529411764
2021-04,4851,5533.0,-12.326043737574553
2021-05,4927,4851.0,1.5666872809729953
2021-06,4378,4927.0,-11.142683174345445
2021-07,4230,4378.0,-3.380539058931019
2021-08,4414,4230.0,4.349881796690307
2021-09,4324,4414.0,-2.0389669234254644
2021-10,4511,4324.0,4.324699352451434
2021-11,4316,4511.0,-4.322766570605188
2021-12,4704,4316.0,8.989805375347544
2022-01,5158,4704.0,9.651360544217686
2022-02,5202,5158.0,0.8530438154323382
2022-03,5835,5202.0,12.168396770472894
2022-04,5486,5835.0,-5.981148243359041
2022-05,4616,5486.0,-15.858549033904485
2022-06,4582,4616.0,-0.7365684575389948
2022-07,4749,4582.0,3.644696639022261
2022-08,5416,4749.0,14.045062118340704
2022-09,4964,5416.0,-8.345642540620384
2022-10,4716,4964.0,-4.99597099113618
2022-11,4479,4716.0,-5.025445292620865
2022-12,5401,4479.0,20.58495199821389
2023-01,9179,5401.0,69.95000925754489
2023-02,6077,9179.0,-33.79453099466173
2023-03,6446,6077.0,6.072075037024847
2023-04,5115,6446.0,-20.648464163822524
2023-05,5934,5115.0,16.011730205278592
2023-06,5547,5934.0,-6.521739130434782
2023-07,5862,5547.0,5.678745267712277
2023-08,7304,5862.0,24.59911293074036
2023-09,10308,7304.0,41.12814895947426
2023-10,11246,10308.0,9.099728366317423
2023-11,10681,11246.0,-5.024008536368487
2023-12,10331,10681.0,-3.2768467371968915
2024-01,11052,10331.0,6.978995256993514
2024-02,10898,11052.0,-1.3934129569308722
2024-03,11986,10898.0,9.98348320792806
2024-04,12761,11986.0,6.465876856332388
2024-05,12954,12761.0,1.5124206566883474
2024-06,10943,12954.0,-15.52416242087386
2024-07,12184,10943.0,11.340583021109385
2024-08,13844,12184.0,13.624425476034144
2024-09,13164,13844.0,-4.911875180583646
2024-10,13603,13164.0,3.334852628380432
2024-11,12923,13603.0,-4.998897302065721
2024-12,13222,12923.0,2.313704248239573
2025-01,29547,13222.0,123.46846165481773
2025-02,13348,29547.0,-54.82451687142519
2025-03,13059,13348.0,-2.1651183697932277
2025-04,13846,13059.0,6.0264951374530975
2025-05,14759,13846.0,6.593962155135056
2025-06,14727,14759.0,-0.21681685751067148
2025-07,16590,14727.0,12.650234263597474
2025-08,16373,16590.0,-1.3080168776371308
2025-09,16568,16373.0,1.1909851584926403
2025-10,15710,16568.0,-5.178657653307581
2025-11,14959,15710.0,-4.780394653087205
2025-12,17937,14959.0,19.907747844107227
2026-01,19917,17937.0,11.038635223281485
2026-02,12495,19917.0,-37.264648290405184
2026-03,232,12495.0,-98.14325730292117
